0.835732,-0.241013,-0.898697,-0.57745,-1.32067
0.833332,-0.245137,-0.899194,-0.582365,-1.3215
0.827862,-0.252984,-0.900547,-0.594419,-1.32351
0.81601,-0.264159,-0.90434,-0.62376,-1.32838
0.802924,-0.275284,-0.908812,-0.656841,-1.33386
0.801697,-0.275794,-0.909332,-0.660232,-1.33442
0.790109,-0.337128,-0.906592,-0.760324,-1.35201
0.805348,-0.264673,-0.911141,-0.657065,-1.33374
0.801985,-0.270471,-0.911845,-0.66409,-1.33492
0.796048,-0.279568,-0.91328,-0.677077,-1.3371
0.75969,-0.328555,-0.923207,-0.760273,-1.35101
0.750365,-0.342096,-0.925718,-0.781339,-1.35454
0.743349,-0.398474,-0.920174,-0.870397,-1.3704
0.803428,-0.270375,-0.911594,-0.66038,-1.33423
0.80017,-0.276981,-0.912113,-0.666677,-1.33529
0.799459,-0.28134,-0.911737,-0.66653,-1.33529
0.798259,-0.29515,-0.910018,-0.662482,-1.33468
0.798611,-0.304193,-0.908336,-0.655999,-1.33365
0.797624,-0.306743,-0.908402,-0.657501,-1.33391
0.794957,-0.311513,-0.908928,-0.662863,-1.33481
0.791933,-0.31642,-0.909609,-0.669256,-1.33589
0.76799,-0.346149,-0.916532,-0.725751,-1.34532
0.74899,-0.369695,-0.922263,-0.771017,-1.35288
0.744086,-0.374598,-0.924026,-0.783526,-1.35497
0.737547,-0.383306,-0.925972,-0.798865,-1.35753
0.730933,-0.439888,-0.920097,-0.886614,-1.37318
0.77919,-0.305683,-0.919683,-0.716685,-1.34354
0.777933,-0.30808,-0.919911,-0.719213,-1.34396
0.777569,-0.309433,-0.919858,-0.719594,-1.34403
0.776137,-0.325972,-0.917601,-0.714655,-1.3433
0.773871,-0.331781,-0.917742,-0.718261,-1.34392
0.764689,-0.39112,-0.913604,-0.812558,-1.3606
0.758412,-0.335593,-0.927205,-0.766128,-1.35173
0.756909,-0.338353,-0.927505,-0.769236,-1.35225
0.756495,-0.339666,-0.927481,-0.769792,-1.35235
